id,category,current_position,years_experience,education_level,top_skills,resume_summary
29149998,HR,HR ASSISTANT,3.0,D3,"[""Compensation knowledge"", ""MS Office Suite"", ""Oracle knowledge"", ""Great communication skills"", ""Great analytical skills"", ""New Hire Training"", ""Filing & Records Management"", ""Customer Service""]","Highly motivated and dynamic Human Resources professional with over 3 years of experience in HR and administrative roles. Proven track record in sourcing and recruiting candidates, managing onboarding processes, and maintaining employee records. Skilled in using various HR systems and tools, including BrassRing, and proficient in MS Office Suite and Oracle. Strong communication, analytical, and interpersonal skills, with a focus on confidentiality and detail orientation. Experienced in conducting training sessions for employees, managing background checks, and overseeing payroll processing. Committed to making a positive impact on company policies and fostering a collaborative work environment."
11480899,HR,HR MANAGER,7.0,S2,"[""Conflict management"", ""Employee training"", ""Compensation/payroll"", ""Regulatory compliance"", ""Staff development"", ""Performance management strategies"", ""Recruiting"", ""Training and development""]","Seorang Manajer Sumber Daya Manusia dengan pemahaman praktis tentang kebutuhan bisnis dan pengalaman lebih dari 7 tahun dalam manajemen SDM. Memiliki keahlian dalam manajemen konflik dan pelatihan karyawan, serta berperan sebagai jembatan antara strategi bisnis dan tindakan SDM yang mendorong hasil bisnis. Berpengalaman dalam mengubah peran SDM dari administratif menjadi mitra strategis, termasuk pengembangan kebijakan, prosedur, dan program pelatihan. Memiliki kemampuan dalam mengelola rekrutmen, kompensasi, dan kepatuhan hukum, serta menangani masalah disiplin dan hubungan karyawan. Pendidikan terakhir adalah Magister Administrasi Publik dari National Institute of Development Administration (NIDA) dan memiliki sertifikasi dalam Manajemen Sumber Daya Manusia. Mampu berkomunikasi dengan baik dan memiliki keterampilan interpersonal yang kuat."
23155093,HR,HR Manager,8.0,S1,"[""Leadership"", ""Communication"", ""Customer Service"", ""Human Resources"", ""Project Management"", ""Coaching"", ""Analytical Skills"", ""Team Management""]","Seorang HR Manager dengan pengalaman lebih dari 8 tahun dalam manajemen sumber daya manusia dan pengembangan karyawan. Memiliki kemampuan kepemimpinan yang kuat, mampu memberikan arahan dan motivasi kepada tim untuk mencapai tujuan perusahaan. Berpengalaman dalam mengelola proses peninjauan kinerja, perencanaan pengembangan, dan pelatihan karyawan baru. Memiliki keterampilan komunikasi yang efektif dan mampu menyelesaikan masalah yang kompleks. Selain itu, juga memiliki pengalaman dalam manajemen proyek dan administrasi, serta kemampuan untuk bekerja dalam lingkungan yang cepat dan dinamis. Pendidikan terakhir adalah gelar Bachelor of Applied Science dalam Manajemen dan Kepemimpinan Organisasi dari St. Petersburg College."
11763983,HR,HR Generalist,9.0,S2,"[""Word"", ""Excel"", ""PowerPoint"", ""HRIS"", ""ADP Payroll"", ""Kronos"", ""recruitment"", ""benefits administration""]","A dedicated HR Generalist with over 9 years of experience in human resources, specializing in building HR departments from the ground up and ensuring compliance with state and federal laws. Proven track record in developing and implementing HR policies, employee benefits administration, and conducting workplace investigations. Strong communication skills have facilitated effective relationships with management and employees, enhancing workplace engagement and compliance. Experienced in recruiting, onboarding, and conducting exit interviews, as well as providing consultation on employment-related matters. Holds an MBA in HR and actively participates in professional affiliations, demonstrating a commitment to ongoing professional development."
27490876,HR,HR Coordinator,9.0,S2,"[""Applicant Screening"", ""Background Checks"", ""Benefits Administration"", ""Employee Relations"", ""Full-Cycle Recruitment"", ""Interviewing"", ""Performance Evaluations"", ""Training and Development""]","Seorang HR Coordinator dengan pengalaman lebih dari 9 tahun dalam pengelolaan sumber daya manusia, termasuk rekrutmen, administrasi manfaat, dan hubungan karyawan. Memiliki latar belakang yang kuat dalam mengembangkan dan mengoordinasikan program rekrutmen yang komprehensif, serta memastikan kepatuhan terhadap hukum dan kebijakan yang berlaku. Berpengalaman dalam melakukan investigasi terkait keluhan hubungan karyawan dan memberikan saran kepada manajer serta karyawan dalam menyelesaikan masalah terkait kinerja. Memiliki gelar MBA dalam Manajemen Sumber Daya Manusia dan telah berkontribusi dalam berbagai proyek untuk meningkatkan kepuasan karyawan dan efisiensi proses rekrutmen. Mampu membangun kemitraan yang efektif dengan institusi pendidikan dan organisasi lain untuk menarik kandidat berkualitas."
32977530,HR,HR Clerk,11.0,S1,"[""Accounts Payable"", ""Accounts Receivable"", ""Customer Service"", ""Microsoft Suite"", ""SAP"", ""Solomon"", ""Knowledge of Quickbooks""]","The candidate is an experienced HR Clerk with over 11 years in accounts payable and receivable, customer service, and human resource administration. They have a strong background in auditing, documentation, and property management, having managed 96 units. The candidate is proficient in various software including SAP and Microsoft Suite, and has demonstrated strong organizational and communication skills. They have a proven track record of resolving client issues, training staff, and performing administrative tasks efficiently. Their educational background includes a Bachelor of Science in Business Administration with a focus on Human Resource Management, achieving a GPA of 3.95. The candidate is recognized for their dedication to excellent customer service and has received multiple awards for performance."
93002334,HR,HR Analyst,3.0,S1,"[""MS Excel"", ""Share Point"", ""Taleo"", ""SAP"", ""Power Point"", ""One Note"", ""Visio"", ""Autonomy""]","Experienced HR Analyst with a strong background in Human Resources, Administrative, and Customer Service environments. Proficient in various software applications including MS Excel, Share Point, and SAP. Successfully led HR initiatives such as the clean-up and electronic conversion of over 3,500 employee files during the Kraft merger. Demonstrated ability to manage HR processes, provide transactional service assistance, and support employee relations. Collaborated with third parties to enhance scholarship programs and improved onboarding processes. Holds a Bachelor's degree in Psychology from the University of Phoenix and has completed several relevant training certifications."
24184357,HR,HR Director,5.0,S1,"[""Analytical Skills"", ""Organizational Skills"", ""Communication Skills"", ""Recruiting and Staffing"", ""Performance Management"", ""Employee Relations"", ""Training & Development"", ""Policy & Procedure Writing""]","Seorang profesional Sumber Daya Manusia yang percaya diri dan kreatif dengan latar belakang akademis dalam manajemen sumber daya manusia serta pengalaman praktis dalam merekrut, melatih, dan mengembangkan karyawan. Saat ini, menjabat sebagai HR Director, bertanggung jawab atas pengelolaan 63 karyawan di sebuah organisasi yang sedang berkembang pesat. Memiliki keterampilan analitis yang baik, kemampuan interpersonal yang kuat, serta keahlian dalam manajemen kinerja dan hubungan karyawan. Berpengalaman dalam mengembangkan dan menerapkan program pelatihan untuk meningkatkan retensi karyawan, serta dalam menyusun kebijakan dan prosedur yang sesuai dengan hukum yang berlaku. Mampu melakukan analisis data terkait ketenagakerjaan dan menyusun laporan yang diperlukan. Memiliki kemampuan untuk berkomunikasi secara efektif dengan berbagai pihak dan mengelola proses rekrutmen dari awal hingga akhir, termasuk wawancara dan orientasi karyawan baru."
73077810,HR,HR Generalist/Recruiter,9.0,S2,"[""ADP"", ""HRIS"", ""recruiting"", ""performance management"", ""employee relations"", ""coaching"", ""staffing"", ""database""]","Seorang Human Resource Generalist yang merupakan komunikator dan negosiator yang hebat dengan keterampilan resolusi konflik yang kuat. Memiliki latar belakang yang luas dalam rekrutmen dan retensi, mediasi, dan manajemen catatan. Berpengalaman dalam mengelola sistem pelacakan pelamar, orientasi karyawan baru, dan administrasi manfaat. Telah berhasil mengurangi turnover karyawan sebesar 10% dan memperkenalkan proses Open Enrollment pasif pertama. Memiliki kemampuan dalam menciptakan laporan metrik untuk direktur HR dan melatih serta mengarahkan karyawan baru. Memiliki gelar Magister Ilmu Administrasi dan pengalaman kerja lebih dari 9 tahun di bidang sumber daya manusia."
13879043,HR,HR Partner,7.0,S2,"[""Recruiting"", ""Performance Management"", ""Employee Retention"", ""Conflict Resolution"", ""HR Policies"", ""Data Analysis"", ""Training & Development"", ""Compensation and Benefits""]","With over 7 years of experience as an HR Partner, I have developed a comprehensive skill set in various aspects of human resources, including recruiting, onboarding, performance management, and employee retention. My background as an HR generalist has equipped me with the ability to handle employee relations, benefits administration, and conflict resolution effectively. I have successfully implemented programs that enhance employee morale and reduce attrition rates. My experience includes full life cycle recruiting, managing performance improvement plans, and conducting employee engagement surveys. I have also played a key role in developing corporate policies and optimizing HR processes, ensuring compliance with regulations. My educational background includes an MBA in Human Resource Management, which complements my practical experience in the field."
30163002,HR,HR Generalist,4.0,S1,"[""Microsoft Office proficiency"", ""Excel spreadsheets"", ""Strong interpersonal skills"", ""Results-oriented"", ""Problem solver"", ""Team player"", ""PowerPoint presentations"", ""Employee relations""]","A dedicated HR Generalist with a Bachelor of Arts in Psychology, possessing over four years of experience in office administration and human resources. Demonstrated expertise in managing employee relations, onboarding processes, and maintaining personnel files. Proven ability to enhance office organization through the development of efficient filing systems and customer database protocols. Recognized for strong attention to detail and exemplary customer service, receiving multiple awards for outstanding performance. Proficient in Microsoft Office, particularly Excel and PowerPoint, with a keen understanding of business development and effective communication. A results-oriented professional with strong problem-solving skills and a commitment to maintaining confidentiality and fostering a collaborative team environment."
18827609,HR,University Programs Lead,3.0,S1,"[""Recruiting"", ""Onboarding"", ""Project Management"", ""Event Planning"", ""Employee Relations"", ""Public Speaking"", ""Social Media Marketing"", ""Training and Development""]","Enthusiastic HR professional with over 3 years of experience in driving recruitment strategies and operational improvements within a global technology organization. Currently serving as a University Programs Lead, I have successfully developed and implemented university recruitment strategies, significantly expanding intern programs and enhancing brand awareness in target markets. My background includes a strong foundation in full lifecycle recruitment, employee relations, and training development, complemented by proficiency in various HRIS systems such as Workday and Taleo. I am recognized for my effective communication skills and ability to foster relationships with internal stakeholders and university partners, ensuring a positive recruitment experience and aligning hiring strategies with business priorities. I hold a Bachelor of Science in Business Administration with a focus on Human Resource Management and Psychology, graduating Summa Cum Laude from North Carolina State University."
25676643,HR,HR Specialist,9.0,S2,"[""HR Advisory Services"", ""Strategic Recruitment Planning"", ""HR Policies & Procedures"", ""Staff Recruitment & Retention"", ""HR Program/Project Management"", ""Orientation & Onboarding"", ""Performance Management"", ""Social Media management and recruitment""]","An HR Specialist with over 9 years of experience in recruitment and federal employment processes, demonstrating strong analytical, organizational, and project management skills. Proven track record in managing HR programs, developing teambuilding initiatives, and writing standard operating procedures. Expertise in HR recruitment and staffing, including position management, employee onboarding, and compliance with HR policies and regulations. Successfully led the development of onboarding programs and agency-wide hiring guides, while serving as a subject matter expert in talent acquisition. Recognized for implementing effective internship programs and enhancing agency visibility among job seekers. Holds a Master's degree in Human Resources Management and a Bachelor's degree in Broadcast and Print Journalism, with a commitment to fostering a positive work environment and improving employee retention rates."
12786012,HR,HR Coordinator,10.0,S2,"[""Employee relations"", ""Compensation administration"", ""Personnel records maintenance"", ""New hire orientation"", ""Hiring and retention"", ""Training and development"", ""Staffing and recruiting"", ""Performance management strategies""]","Certified Human Resources Professional with extensive experience in employee relations and a proven track record of managing multiple projects simultaneously. Currently serving as an HR Coordinator, responsible for overseeing the recruitment, selection, and onboarding processes for full-time employees, as well as maintaining job classification systems and developing personnel policies. Demonstrated expertise in advising management on labor contracts and employment law, resolving employee issues, and managing compensation and benefits. Successfully revamped the new hire orientation process and led the Staffing Planning Committee. Holds an MBA in Human Resource Management and a BA in Communications, with strong skills in conflict resolution, performance management, and strategic training programs."
87968870,HR,HR Generalist,11.0,S1,"[""Hiring and retention"", ""Training and development"", ""Compensation and benefits"", ""Employee relations"", ""Regulatory compliance"", ""Mediation expertise"", ""HR Systems"", ""Performance management""]","Energetic and bilingual Human Resources Professional with approximately 11 years of extensive experience in administering various HR plans and procedures. Proven expertise in recruitment, retention, employee relations, and organizational development. Currently serving as an HR Generalist, responsible for developing HR policies, conducting new employee orientations, and managing employee relations. Demonstrated ability to foster a positive employee-oriented culture and improve organizational performance. Previous roles include HR Generalist and Human Resource Manager, where responsibilities included managing compensation, benefits, compliance, and training programs. Holds a BBA in Human Resource Management and an Associate of Science in Liberal Arts."
46258701,HR,HR COORDINATOR,11.0,S1,"[""Microsoft Office Suite"", ""Human resources audits"", ""Applicant Tracking System"", ""Recruiting"", ""EEO Reporting"", ""SAP Administration"", ""Organized"", ""Exceptional communicator""]","Seorang HR Coordinator yang sangat efisien dengan pengalaman lebih dari 11 tahun dalam lingkungan administratif yang cepat dan menantang. Memiliki keterampilan interpersonal yang luar biasa dan keahlian dalam Microsoft Office Suite. Bertanggung jawab untuk memulai, melacak, dan menindaklanjuti pemeriksaan latar belakang dan tes narkoba, serta mengelola orientasi karyawan baru. Berpengalaman dalam melakukan wawancara keluar dan mengelola catatan personel. Memiliki pengalaman dalam merekrut untuk berbagai posisi, termasuk posisi entry level hingga mid level, serta berpartisipasi dalam pameran karir di perguruan tinggi. Terampil dalam menggunakan sistem pelacakan pelamar dan memiliki pemahaman yang baik tentang kepatuhan SOX. Anggota aktif Society for Human Resources (SHRM) sejak 2007."
14225422,HR,HR MANAGER/GENERALIST,11.0,S2,"[""ADP payroll"", ""Ceridian"", ""employee relations"", ""recruiting"", ""safety programs"", ""performance reviews"", ""benefits administration"", ""contract negotiations""]","Experienced HR Manager/Generalist with over 11 years in progressively responsible roles within union and non-union manufacturing environments. Demonstrated expertise in managing HR functions for companies of varying sizes, including a leading manufacturer of cryogenic pumps and a medical device manufacturer. Proficient in payroll processing, employee relations, benefits administration, and compliance with state and federal employment laws. Skilled in developing and implementing successful recruiting strategies, conducting wage surveys, and managing personnel transactions. Holds a Master of Science in Industrial Psychology and has ongoing training in employment-related subjects. Recognized for maintaining professionalism and confidentiality while fostering positive relationships with employees and management."
29297973,HR,HR Representative,7.0,S2,"[""On-boarding"", ""Staffing and recruiting"", ""Payroll entry"", ""Employee relations"", ""Coaching"", ""Training programs"", ""Consulting"", ""Counseling""]","Experienced human resources professional with a strong background in state and federal employment laws and regulations. Committed to enhancing employee satisfaction and management-employee relations through effective communication and confidentiality. Currently serving as an HR Representative since November 2016, where responsibilities include designing communication boards, recruiting, and training staff. Previously held the position of Human Resources Supervisor/Staffing Coordinator, successfully filling numerous positions and managing staffing for multiple locations. Holds a Master's degree in Organizational Management with a focus on Human Resources Management, and has a proven track record in performance reviews, employee counseling, and compliance with hiring guidelines. Adept at utilizing various HR systems and maintaining accurate employee records."
18334783,HR,HR Director/Administrator,20.0,S1,"[""Project management"", ""Leadership/communication skills"", ""Employee relations"", ""Staff Development"", ""Team Player"", ""Total quality management"", ""Office management"", ""Customer service""]","An accomplished HR Director/Administrator with over 20 years of experience in managing diverse enterprises and overseeing HR functions. Proven expertise in project management, having successfully monitored eleven Renewable Wind projects, ensuring budget compliance and effective documentation control. Demonstrated leadership in structuring HR processes, including the development of HR handbooks and hiring procedures. Skilled in managing administrative staff, training support personnel, and facilitating office setups, notably for Forbes Bros Inc in Houston. Strong background in operations management, serving as a liaison among owners, contractors, and subcontractors, while ensuring efficient communication and project execution. Holds a BA in Business/Finance from the University of New Mexico and is committed to fostering employee relations and team development."
19717385,HR,HR Intern,7.0,S2,"[""Research"", ""Time Management"", ""Communication"", ""Organisational Skills"", ""Microsoft Excel"", ""SPSS"", ""Data Entry"", ""Counselling""]","An enthusiastic and highly motivated individual with a strong educational background in psychology, holding a Master of Arts in Organisational Psychology and a Master of Science in Counselling Psychology. Currently serving as an HR Intern, responsible for managing the hiring process, conducting background checks, and pre-screening applicants. Demonstrated experience in various roles including administrative assistance, counselling, and mentoring staff. Possesses excellent communication and organisational skills, with a proven ability to work independently and collaboratively to achieve company goals. Engaged in volunteer activities and has published research in the field of psychology, showcasing a commitment to professional development and community service."
49937469,HR,HR ASSISTANT,8.0,S1,"[""Employee Relations"", ""Coaching"", ""Event management"", ""Staffing"", ""Recruiting"", ""Benefits administration"", ""Organizational skills"", ""Problem-solving""]","Seorang HR Assistant dengan pengalaman lebih dari 8 tahun dalam manajemen sumber daya manusia dan pengembangan kebijakan organisasi. Memiliki keahlian dalam merekrut dan melatih karyawan, serta mengelola hubungan karyawan. Berpengalaman dalam mengembangkan program orientasi karyawan baru dan exit interview, serta menciptakan dan memodifikasi deskripsi pekerjaan di berbagai departemen. Terampil dalam administrasi manfaat dan pengelolaan catatan karyawan yang rahasia. Memiliki latar belakang pendidikan S1 dalam Manajemen Kepemimpinan Organisasi dan Manajemen Sumber Daya Manusia dari Lourdes College. Memiliki kemampuan komunikasi yang baik dan mampu bekerja sama dengan manajemen tingkat atas untuk menciptakan kebijakan HR yang adil dan konsisten."
18316239,HR,HR Generalist,9.0,D3,"[""Employee Recruitment"", ""Employee Relations"", ""Benefits Administration"", ""HR Program/Project Management"", ""Training & Development"", ""Performance Management"", ""Organizational Development"", ""HRIS Technologies""]","A dedicated HR Generalist with 9 years of experience in human resources, specializing in employee recruitment, retention, and development. Proven track record in managing HR operations, including benefits administration, conflict resolution, and compliance with HR policies. Successfully improved departmental efficiency by 80% through strategic workflow enhancements and played a key role in launching HR operations for a new branch in Germany. Demonstrated expertise in negotiating salary offers and implementing performance review programs, contributing to a high employee retention rate. Holds an Associate of Applied Science in Business Administration and is a Certified Professional in Human Resources (PHR). Skilled in utilizing HRIS technologies and MS Office applications to streamline HR processes and enhance organizational effectiveness."
17855844,HR,HR Manager,10.0,S1,"[""Organizational Development"", ""Strategic Planning"", ""Talent Management"", ""Employee Relations"", ""Performance Management"", ""HR Information Systems (HRIS)"", ""Change Management"", ""Recruitment""]","Tonya Bell is an accomplished HR professional with over a decade of experience in strategic planning, organizational development, and management of human resources operations. Currently serving as an HR Manager for a major airline, she has successfully managed all aspects of HR and employee relations, significantly reducing ADA cases and complaints through effective training and policy implementation. Previously, she worked as a Human Resources Consultant for a leading global foodservice retailer, where she developed hiring processes and training systems that improved employee retention and performance. Tonya has also held the position of HR Manager at an organization focused on mental health, where she led initiatives that enhanced employee morale and reduced recruiting costs. She holds a B.S. in Communications and is a certified PHR professional, actively involved in the Society of Human Resource Management."
57667857,HR,HR Consultant,25.0,S1,"[""Recruiting and selection techniques"", ""Employee relations"", ""Training and development"", ""Compensation/payroll"", ""Regulatory compliance"", ""Talent assessments"", ""Mediation expertise"", ""Background checks""]","A highly experienced HR Consultant with 25 years in the human resources field, specializing in recruiting, employee relations, and training development. Proven track record of reducing employee turnover and enhancing retention through innovative programs and strategic planning. Holds a Bachelor's degree from Dallas Baptist University and is PHR certified. Demonstrated expertise in managing HR processes for Fortune 500 companies, including executive recruiting and compliance with labor laws. Recognized for exceptional interpersonal skills and the ability to streamline HR operations, ensuring a positive work environment and effective communication between management and employees."
17422560,HR,HR COORDINATOR,8.0,D3,"[""Microsoft Word"", ""Excel"", ""PowerPoint"", ""payroll"", ""employee relations"", ""data entry"", ""recruiting"", ""staffing""]","The candidate is an experienced HR Coordinator with over 8 years in the human resources field, currently managing employee communications, payroll processing, and compliance with HR policies. They have a strong background in onboarding, employee relations, and performance assessments, demonstrating a commitment to maintaining accurate records and facilitating effective HR operations. The candidate has also held roles in payroll/staffing coordination and tax clerk positions, showcasing a diverse skill set that includes data entry, client service, and administrative support. Their educational background includes an Associate's degree in Business Management, and they possess proficiency in various software applications, including Microsoft Office Suite. The candidate is dedicated to personal development and achieving organizational goals."
32947778,HR,HR MANAGER,7.0,S1,"[""conflict management"", ""employee training"", ""recruiting"", ""compensation/payroll"", ""employee relations"", ""HRIS technologies"", ""project management"", ""human resource laws knowledge""]","Seorang profesional Sumber Daya Manusia dengan pemahaman praktis tentang kebutuhan bisnis dan pengalaman lebih dari tujuh tahun dalam manajemen SDM. Memiliki keahlian dalam manajemen konflik, pelatihan karyawan, dan rekrutmen. Berhasil merencanakan dan mengarahkan kegiatan manajemen sumber daya manusia untuk memaksimalkan penggunaan strategis sumber daya manusia, termasuk pengelolaan kompensasi, kebijakan personel, dan kepatuhan regulasi. Memiliki pengalaman dalam mengelola orientasi karyawan baru, proses rekrutmen, dan pemeliharaan catatan personel. Terampil dalam menggunakan teknologi HRIS dan memiliki pengetahuan mendalam tentang hukum sumber daya manusia. Mampu bekerja secara efektif dalam tim dan memiliki keterampilan interpersonal yang sangat baik, serta pengalaman dalam mengelola proyek yang meningkatkan efisiensi dan memenuhi tenggat waktu serta anggaran."
